bps_name,bps_acres,ref_label,ref_percent,ref_scls_acres,cur_percent,cur_scls_acres,state_class_id,age_category,canopy_category,value,cur_scls_count,bps_count,join_field,model_code
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,A,11,75977,6,43604,Early1:ALL,Early1,ALL,180,196068,3105749,10270_2_3_7_A,10270_2_3_7
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,B,4,27628,43,294380,Mid1:CLS,Mid1,CLS,178,1323686,3105749,10270_2_3_7_B,10270_2_3_7
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,C,8,55256,4,26481,Mid1:OPN,Mid1,OPN,179,119074,3105749,10270_2_3_7_C,10270_2_3_7
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,D,63,435142,0,893,Late1:OPN,Late1,OPN,183,4014,3105749,10270_2_3_7_D,10270_2_3_7
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,E,14,96698,35,239683,Late1:CLS,Late1,CLS,176,1077739,3105749,10270_2_3_7_E,10270_2_3_7
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,Agriculture,0,0,4,24295,NA,NA,NA,175,109242,3105749,10270_2_3_7_Agriculture,10270_2_3_7
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,Urban,0,0,6,40144,NA,NA,NA,151,180506,3105749,10270_2_3_7_Urban,10270_2_3_7
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,Water,0,0,NA,NA,NA,NA,NA,NA,NA,3105749,10270_2_3_7_Water,10270_2_3_7
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,UN,0,0,NA,NA,NA,NA,NA,NA,NA,3105749,10270_2_3_7_UN,10270_2_3_7
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,UE,0,0,3,20906,NA,NA,NA,181,94004,3105749,10270_2_3_7_UE,10270_2_3_7
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,A,16,31101,8,16164,Early1:ALL,Early1,ALL,99,72681,874047,10280_2_3_A,10280_2_3
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,B,14,27214,37,72634,Mid1:CLS,Mid1,CLS,98,326601,874047,10280_2_3_B,10280_2_3
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,C,18,34989,5,9232,Mid1:OPN,Mid1,OPN,97,41513,874047,10280_2_3_C,10280_2_3
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,D,35,68034,0,111,Late1:OPN,Late1,OPN,162,500,874047,10280_2_3_D,10280_2_3
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,E,17,33045,44,85768,Late1:CLS,Late1,CLS,108,385656,874047,10280_2_3_E,10280_2_3
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,Agriculture,0,0,0,193,NA,NA,NA,140,868,874047,10280_2_3_Agriculture,10280_2_3
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,Urban,0,0,4,7059,NA,NA,NA,107,31743,874047,10280_2_3_Urban,10280_2_3
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,Water,0,0,NA,NA,NA,NA,NA,NA,NA,874047,10280_2_3_Water,10280_2_3
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,UN,0,0,NA,NA,NA,NA,NA,NA,NA,874047,10280_2_3_UN,10280_2_3
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,UE,0,0,2,3121,NA,NA,NA,139,14035,874047,10280_2_3_UE,10280_2_3
Mediterranean California Mixed Oak Woodland,15688,A,11,1726,14,2126,Early1:ALL,Early1,ALL,189,9559,70540,10290_2_3_4_5_6_7_12_A,10290_2_3_4_5_6_7_12
Mediterranean California Mixed Oak Woodland,15688,B,4,628,0,26,Mid1:CLS,Mid1,CLS,212,116,70540,10290_2_3_4_5_6_7_12_B,10290_2_3_4_5_6_7_12
Mediterranean California Mixed Oak Woodland,15688,C,21,3294,1,93,Mid1:OPN,Mid1,OPN,207,416,70540,10290_2_3_4_5_6_7_12_C,10290_2_3_4_5_6_7_12
Mediterranean California Mixed Oak Woodland,15688,D,54,8471,5,727,Late1:OPN,Late1,OPN,188,3267,70540,10290_2_3_4_5_6_7_12_D,10290_2_3_4_5_6_7_12
Mediterranean California Mixed Oak Woodland,15688,E,10,1569,9,1376,Late1:CLS,Late1,CLS,187,6188,70540,10290_2_3_4_5_6_7_12_E,10290_2_3_4_5_6_7_12
Mediterranean California Mixed Oak Woodland,15688,Agriculture,0,0,22,3472,NA,NA,NA,185,15610,70540,10290_2_3_4_5_6_7_12_Agriculture,10290_2_3_4_5_6_7_12
Mediterranean California Mixed Oak Woodland,15688,Urban,0,0,27,4197,NA,NA,NA,186,18870,70540,10290_2_3_4_5_6_7_12_Urban,10290_2_3_4_5_6_7_12
Mediterranean California Mixed Oak Woodland,15688,Water,0,0,NA,NA,NA,NA,NA,NA,NA,70540,10290_2_3_4_5_6_7_12_Water,10290_2_3_4_5_6_7_12
Mediterranean California Mixed Oak Woodland,15688,UN,0,0,12,1925,NA,NA,NA,177,8657,70540,10290_2_3_4_5_6_7_12_UN,10290_2_3_4_5_6_7_12
Mediterranean California Mixed Oak Woodland,15688,UE,0,0,11,1696,NA,NA,NA,184,7625,70540,10290_2_3_4_5_6_7_12_UE,10290_2_3_4_5_6_7_12
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,A,12,29731,6,15699,Early1:ALL,Early1,ALL,173,70591,1114051,10300_2_3_4_5_6_7_A,10300_2_3_4_5_6_7
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,B,30,74328,55,136777,Mid1:CLS,Mid1,CLS,169,615019,1114051,10300_2_3_4_5_6_7_B,10300_2_3_4_5_6_7
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,C,58,143700,18,44452,Mid1:OPN,Mid1,OPN,171,199877,1114051,10300_2_3_4_5_6_7_C,10300_2_3_4_5_6_7
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114051,10300_2_3_4_5_6_7_D,10300_2_3_4_5_6_7
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114051,10300_2_3_4_5_6_7_E,10300_2_3_4_5_6_7
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,Agriculture,0,0,8,18879,NA,NA,NA,174,84889,1114051,10300_2_3_4_5_6_7_Agriculture,10300_2_3_4_5_6_7
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,Urban,0,0,8,19773,NA,NA,NA,167,88911,1114051,10300_2_3_4_5_6_7_Urban,10300_2_3_4_5_6_7
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,Water,0,0,NA,NA,NA,NA,NA,NA,NA,1114051,10300_2_3_4_5_6_7_Water,10300_2_3_4_5_6_7
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,UN,0,0,NA,NA,NA,NA,NA,NA,NA,1114051,10300_2_3_4_5_6_7_UN,10300_2_3_4_5_6_7
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,UE,0,0,5,11867,NA,NA,NA,172,53358,1114051,10300_2_3_4_5_6_7_UE,10300_2_3_4_5_6_7
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,A,17,3624,63,13480,Early1:ALL,Early1,ALL,156,60613,95857,10310_2_3_4_5_6_12_A,10310_2_3_4_5_6_12
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,B,6,1279,17,3683,Mid1:CLS,Mid1,CLS,100,16561,95857,10310_2_3_4_5_6_12_B,10310_2_3_4_5_6_12
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,C,31,6609,9,1832,Mid1:OPN,Mid1,OPN,109,8237,95857,10310_2_3_4_5_6_12_C,10310_2_3_4_5_6_12
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,D,1,213,0,44,Late1:CLS,Late1,CLS,202,199,95857,10310_2_3_4_5_6_12_D,10310_2_3_4_5_6_12
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,E,45,9593,4,890,Late1:OPN,Late1,OPN,159,4001,95857,10310_2_3_4_5_6_12_E,10310_2_3_4_5_6_12
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,Agriculture,0,0,0,13,NA,NA,NA,158,59,95857,10310_2_3_4_5_6_12_Agriculture,10310_2_3_4_5_6_12
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,Urban,0,0,3,688,NA,NA,NA,165,3092,95857,10310_2_3_4_5_6_12_Urban,10310_2_3_4_5_6_12
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,Water,0,0,NA,NA,NA,NA,NA,NA,NA,95857,10310_2_3_4_5_6_12_Water,10310_2_3_4_5_6_12
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,UN,0,0,NA,NA,NA,NA,NA,NA,NA,95857,10310_2_3_4_5_6_12_UN,10310_2_3_4_5_6_12
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,UE,0,0,3,600,NA,NA,NA,160,2697,95857,10310_2_3_4_5_6_12_UE,10310_2_3_4_5_6_12
Mediterranean California Red Fir Forest,31433,A,13,4086,13,3980,Early1:ALL,Early1,ALL,221,17898,141337,10320_2_3_7_A,10320_2_3_7
Mediterranean California Red Fir Forest,31433,B,19,5972,72,22493,Mid1:CLS,Mid1,CLS,217,101141,141337,10320_2_3_7_B,10320_2_3_7
Mediterranean California Red Fir Forest,31433,C,22,6915,12,3845,Mid1:OPN,Mid1,OPN,219,17290,141337,10320_2_3_7_C,10320_2_3_7
Mediterranean California Red Fir Forest,31433,D,26,8172,NA,NA,Late1:OPN,Late1,OPN,NA,NA,141337,10320_2_3_7_D,10320_2_3_7
Mediterranean California Red Fir Forest,31433,E,20,6287,NA,NA,Late1:CLS,Late1,CLS,NA,NA,141337,10320_2_3_7_E,10320_2_3_7
Mediterranean California Red Fir Forest,31433,Agriculture,0,0,0,14,NA,NA,NA,232,63,141337,10320_2_3_7_Agriculture,10320_2_3_7
Mediterranean California Red Fir Forest,31433,Urban,0,0,3,945,NA,NA,NA,218,4251,141337,10320_2_3_7_Urban,10320_2_3_7
Mediterranean California Red Fir Forest,31433,Water,0,0,NA,NA,NA,NA,NA,NA,NA,141337,10320_2_3_7_Water,10320_2_3_7
Mediterranean California Red Fir Forest,31433,UN,0,0,NA,NA,NA,NA,NA,NA,NA,141337,10320_2_3_7_UN,10320_2_3_7
Mediterranean California Red Fir Forest,31433,UE,0,0,0,1,NA,NA,NA,233,6,141337,10320_2_3_7_UE,10320_2_3_7
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,A,6,31079,4,22510,Early1:ALL,Early1,ALL,51,101216,2329128,10350_1_2_7_A,10350_1_2_7
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,B,10,51799,33,172596,Mid1:CLS,Mid1,CLS,36,776082,2329128,10350_1_2_7_B,10350_1_2_7
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,C,9,46619,5,24618,Mid1:OPN,Mid1,OPN,37,110696,2329128,10350_1_2_7_C,10350_1_2_7
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,D,44,227914,0,674,Late1:OPN,Late1,OPN,130,3031,2329128,10350_1_2_7_D,10350_1_2_7
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,E,31,160575,15,79495,Late1:CLS,Late1,CLS,34,357449,2329128,10350_1_2_7_E,10350_1_2_7
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,Agriculture,0,0,18,91978,NA,NA,NA,68,413580,2329128,10350_1_2_7_Agriculture,10350_1_2_7
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,Urban,0,0,20,101649,NA,NA,NA,20,457067,2329128,10350_1_2_7_Urban,10350_1_2_7
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,Water,0,0,NA,NA,NA,NA,NA,NA,NA,2329128,10350_1_2_7_Water,10350_1_2_7
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,UN,0,0,NA,NA,NA,NA,NA,NA,NA,2329128,10350_1_2_7_UN,10350_1_2_7
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,UE,0,0,5,24307,NA,NA,NA,21,109295,2329128,10350_1_2_7_UE,10350_1_2_7
North Pacific Hypermaritime Sitka Spruce Forest,898645,A,5,44932,9,83073,Early1:ALL,Early1,ALL,22,373539,4040772,10360_1_2_A,10360_1_2
North Pacific Hypermaritime Sitka Spruce Forest,898645,B,9,80878,50,450776,Mid1:CLS,Mid1,CLS,19,2026921,4040772,10360_1_2_B,10360_1_2
North Pacific Hypermaritime Sitka Spruce Forest,898645,C,2,17973,11,100535,Mid2:CLS,Mid2,CLS,12,452055,4040772,10360_1_2_C,10360_1_2
North Pacific Hypermaritime Sitka Spruce Forest,898645,D,11,98851,2,14249,Mid2:OPN,Mid2,OPN,17,64073,4040772,10360_1_2_D,10360_1_2
North Pacific Hypermaritime Sitka Spruce Forest,898645,E,73,656011,12,109300,Late1:CLS,Late1,CLS,18,491469,4040772,10360_1_2_E,10360_1_2
North Pacific Hypermaritime Sitka Spruce Forest,898645,Agriculture,0,0,1,11405,NA,NA,NA,38,51282,4040772,10360_1_2_Agriculture,10360_1_2
North Pacific Hypermaritime Sitka Spruce Forest,898645,Urban,0,0,10,91419,NA,NA,NA,16,411066,4040772,10360_1_2_Urban,10360_1_2
North Pacific Hypermaritime Sitka Spruce Forest,898645,Water,0,0,NA,NA,NA,NA,NA,NA,NA,4040772,10360_1_2_Water,10360_1_2
North Pacific Hypermaritime Sitka Spruce Forest,898645,UN,0,0,NA,NA,NA,NA,NA,NA,NA,4040772,10360_1_2_UN,10360_1_2
North Pacific Hypermaritime Sitka Spruce Forest,898645,UE,0,0,4,35617,NA,NA,NA,5,160154,4040772,10360_1_2_UE,10360_1_2
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,A,6,106257,7,117847,Early1:ALL,Early1,ALL,55,529902,7963128,10370_1_2_7_A,10370_1_2_7
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,B,17,301062,43,759183,Mid1:CLS,Mid1,CLS,65,3413678,7963128,10370_1_2_7_B,10370_1_2_7
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,C,6,106257,17,308912,Mid1:OPN,Mid1,OPN,63,1389028,7963128,10370_1_2_7_C,10370_1_2_7
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,D,16,283353,1,19171,Late1:OPN,Late1,OPN,54,86202,7963128,10370_1_2_7_D,10370_1_2_7
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,E,55,974026,20,350126,Late1:CLS,Late1,CLS,53,1574346,7963128,10370_1_2_7_E,10370_1_2_7
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,Agriculture,0,0,2,28269,NA,NA,NA,69,127114,7963128,10370_1_2_7_Agriculture,10370_1_2_7
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,Urban,0,0,8,147338,NA,NA,NA,57,662506,7963128,10370_1_2_7_Urban,10370_1_2_7
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,Water,0,0,NA,NA,NA,NA,NA,NA,NA,7963128,10370_1_2_7_Water,10370_1_2_7
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,UN,0,0,NA,NA,NA,NA,NA,NA,NA,7963128,10370_1_2_7_UN,10370_1_2_7
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,UE,0,0,2,39586,NA,NA,NA,58,178000,7963128,10370_1_2_7_UE,10370_1_2_7
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,A,5,120206,6,135801,Early1:ALL,Early1,ALL,41,610631,10810174,10390_1_2_3_7_A,10390_1_2_3_7
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,B,14,336577,64,1527954,Mid1:CLS,Mid1,CLS,50,6870466,10810174,10390_1_2_3_7_B,10390_1_2_3_7
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,C,5,120206,21,496344,Mid1:OPN,Mid1,OPN,42,2231819,10810174,10390_1_2_3_7_C,10390_1_2_3_7
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,D,5,120206,0,8,Late1:OPN,Late1,OPN,105,38,10810174,10390_1_2_3_7_D,10390_1_2_3_7
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,E,71,1706928,NA,NA,Late1:CLS,Late1,CLS,NA,NA,10810174,10390_1_2_3_7_E,10390_1_2_3_7
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,Agriculture,0,0,3,72068,NA,NA,NA,43,324055,10810174,10390_1_2_3_7_Agriculture,10390_1_2_3_7
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,Urban,0,0,5,131571,NA,NA,NA,52,591612,10810174,10390_1_2_3_7_Urban,10390_1_2_3_7
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,Water,0,0,NA,NA,NA,NA,NA,NA,NA,10810174,10390_1_2_3_7_Water,10390_1_2_3_7
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,UN,0,0,NA,NA,NA,NA,NA,NA,NA,10810174,10390_1_2_3_7_UN,10390_1_2_3_7
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,UE,0,0,2,39929,NA,NA,NA,56,179540,10810174,10390_1_2_3_7_UE,10390_1_2_3_7
Mediterranean California Mixed Evergreen Forest - Interior,0,A,17,0,NA,NA,Early1:ALL,Early1,ALL,NA,NA,0,10431_2_3_6_7_A,10431_2_3_6_7
Mediterranean California Mixed Evergreen Forest - Interior,0,B,17,0,NA,NA,Mid1:CLS,Mid1,CLS,NA,NA,0,10431_2_3_6_7_B,10431_2_3_6_7
Mediterranean California Mixed Evergreen Forest - Interior,0,C,19,0,NA,NA,Mid1:OPN,Mid1,OPN,NA,NA,0,10431_2_3_6_7_C,10431_2_3_6_7
Mediterranean California Mixed Evergreen Forest - Interior,0,D,27,0,NA,NA,Late1:OPN,Late1,OPN,NA,NA,0,10431_2_3_6_7_D,10431_2_3_6_7
Mediterranean California Mixed Evergreen Forest - Interior,0,E,20,0,NA,NA,Late1:CLS,Late1,CLS,NA,NA,0,10431_2_3_6_7_E,10431_2_3_6_7
Mediterranean California Mixed Evergreen Forest - Interior,0,Agriculture,0,0,NA,NA,NA,NA,NA,NA,NA,0,10431_2_3_6_7_Agriculture,10431_2_3_6_7
Mediterranean California Mixed Evergreen Forest - Interior,0,Urban,0,0,NA,NA,NA,NA,NA,NA,NA,0,10431_2_3_6_7_Urban,10431_2_3_6_7
Mediterranean California Mixed Evergreen Forest - Interior,0,Water,0,0,NA,NA,NA,NA,NA,NA,NA,0,10431_2_3_6_7_Water,10431_2_3_6_7
Mediterranean California Mixed Evergreen Forest - Interior,0,UN,0,0,NA,NA,NA,NA,NA,NA,NA,0,10431_2_3_6_7_UN,10431_2_3_6_7
Mediterranean California Mixed Evergreen Forest - Interior,0,UE,0,0,NA,NA,NA,NA,NA,NA,NA,0,10431_2_3_6_7_UE,10431_2_3_6_7
Mediterranean California Mixed Evergreen Forest - Coastal,0,A,12,0,NA,NA,Early1:ALL,Early1,ALL,NA,NA,0,10432_2_3_A,10432_2_3
Mediterranean California Mixed Evergreen Forest - Coastal,0,B,16,0,NA,NA,Mid1:CLS,Mid1,CLS,NA,NA,0,10432_2_3_B,10432_2_3
Mediterranean California Mixed Evergreen Forest - Coastal,0,C,15,0,NA,NA,Mid1:OPN,Mid1,OPN,NA,NA,0,10432_2_3_C,10432_2_3
Mediterranean California Mixed Evergreen Forest - Coastal,0,D,30,0,NA,NA,Late1:OPN,Late1,OPN,NA,NA,0,10432_2_3_D,10432_2_3
Mediterranean California Mixed Evergreen Forest - Coastal,0,E,27,0,NA,NA,Late1:CLS,Late1,CLS,NA,NA,0,10432_2_3_E,10432_2_3
Mediterranean California Mixed Evergreen Forest - Coastal,0,Agriculture,0,0,NA,NA,NA,NA,NA,NA,NA,0,10432_2_3_Agriculture,10432_2_3
Mediterranean California Mixed Evergreen Forest - Coastal,0,Urban,0,0,NA,NA,NA,NA,NA,NA,NA,0,10432_2_3_Urban,10432_2_3
