bps_name,bps_acres,ref_label,ref_percent,ref_scls_acres,cur_percent,cur_scls_acres,state_class_id,age_category,canopy_category,value,cur_scls_count,bps_count,join_field,model_code
North Pacific Oak Woodland,766063,A,9,68946,3,25164,Early1:ALL,Early1,ALL,101,113151,3444613,10080_1_2_3_7_A,10080_1_2_3_7
North Pacific Oak Woodland,766063,B,5,38303,31,235047,Mid1:CLS,Mid1,CLS,90,1056893,3444613,10080_1_2_3_7_B,10080_1_2_3_7
North Pacific Oak Woodland,766063,C,86,658814,4,28921,Mid1:OPN,Mid1,OPN,106,130044,3444613,10080_1_2_3_7_C,10080_1_2_3_7
North Pacific Oak Woodland,766063,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,3444613,10080_1_2_3_7_D,10080_1_2_3_7
North Pacific Oak Woodland,766063,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,3444613,10080_1_2_3_7_E,10080_1_2_3_7
North Pacific Oak Woodland,766063,Agriculture,0,0,40,309712,NA,NA,NA,104,1392623,3444613,10080_1_2_3_7_Agriculture,10080_1_2_3_7
North Pacific Oak Woodland,766063,Urban,0,0,15,116817,NA,NA,NA,102,525268,3444613,10080_1_2_3_7_Urban,10080_1_2_3_7
North Pacific Oak Woodland,766063,Water,0,0,NA,NA,NA,NA,NA,NA,NA,3444613,10080_1_2_3_7_Water,10080_1_2_3_7
North Pacific Oak Woodland,766063,UN,0,0,NA,NA,NA,NA,NA,NA,NA,3444613,10080_1_2_3_7_UN,10080_1_2_3_7
North Pacific Oak Woodland,766063,UE,0,0,7,49883,NA,NA,NA,96,224298,3444613,10080_1_2_3_7_UE,10080_1_2_3_7
California Coastal Redwood Forest,9516,A,1,95,8,804,Early1:ALL,Early1,ALL,227,3614,42789,10150_2_3_4_A,10150_2_3_4
California Coastal Redwood Forest,9516,B,7,666,51,4841,Mid1:CLS,Mid1,CLS,224,21769,42789,10150_2_3_4_B,10150_2_3_4
California Coastal Redwood Forest,9516,C,92,8755,18,1747,Late1:CLS,Late1,CLS,204,7854,42789,10150_2_3_4_C,10150_2_3_4
California Coastal Redwood Forest,9516,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,42789,10150_2_3_4_D,10150_2_3_4
California Coastal Redwood Forest,9516,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,42789,10150_2_3_4_E,10150_2_3_4
California Coastal Redwood Forest,9516,Agriculture,0,0,2,230,NA,NA,NA,231,1034,42789,10150_2_3_4_Agriculture,10150_2_3_4
California Coastal Redwood Forest,9516,Urban,0,0,11,1094,NA,NA,NA,226,4918,42789,10150_2_3_4_Urban,10150_2_3_4
California Coastal Redwood Forest,9516,Water,0,0,NA,NA,NA,NA,NA,NA,NA,42789,10150_2_3_4_Water,10150_2_3_4
California Coastal Redwood Forest,9516,UN,0,0,2,180,NA,NA,NA,228,811,42789,10150_2_3_4_UN,10150_2_3_4
California Coastal Redwood Forest,9516,UE,0,0,6,609,NA,NA,NA,229,2738,42789,10150_2_3_4_UE,10150_2_3_4
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,A,19,40198,30,62800,Early1:ALL,Early1,ALL,163,282382,951332,10210_2_3_6_7_A,10210_2_3_6_7
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,B,1,2116,20,43329,Mid1:CLS,Mid1,CLS,113,194831,951332,10210_2_3_6_7_B,10210_2_3_6_7
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,C,24,50777,26,55927,Mid1:OPN,Mid1,OPN,142,251476,951332,10210_2_3_6_7_C,10210_2_3_6_7
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,D,53,112133,2,4944,Late1:OPN,Late1,OPN,192,22233,951332,10210_2_3_6_7_D,10210_2_3_6_7
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,E,3,6347,17,35377,Late1:CLS,Late1,CLS,195,159072,951332,10210_2_3_6_7_E,10210_2_3_6_7
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,Agriculture,0,0,0,342,NA,NA,NA,194,1536,951332,10210_2_3_6_7_Agriculture,10210_2_3_6_7
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,Urban,0,0,3,5450,NA,NA,NA,166,24505,951332,10210_2_3_6_7_Urban,10210_2_3_6_7
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,Water,0,0,NA,NA,NA,NA,NA,NA,NA,951332,10210_2_3_6_7_Water,10210_2_3_6_7
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,UN,0,0,NA,NA,NA,NA,NA,NA,NA,951332,10210_2_3_6_7_UN,10210_2_3_6_7
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,UE,0,0,1,2983,NA,NA,NA,193,13413,951332,10210_2_3_6_7_UE,10210_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,65656,A,18,11818,51,33368,Early1:ALL,Early1,ALL,93,150039,295225,10220_2_3_6_7_A,10220_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,65656,B,2,1313,10,6870,Mid1:CLS,Mid1,CLS,87,30893,295225,10220_2_3_6_7_B,10220_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,65656,C,23,15101,24,15988,Mid1:OPN,Mid1,OPN,92,71889,295225,10220_2_3_6_7_C,10220_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,65656,D,54,35454,1,816,Late1:OPN,Late1,OPN,190,3668,295225,10220_2_3_6_7_D,10220_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,65656,E,3,1970,10,6563,Late1:CLS,Late1,CLS,161,29510,295225,10220_2_3_6_7_E,10220_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,65656,Agriculture,0,0,0,3,NA,NA,NA,164,14,295225,10220_2_3_6_7_Agriculture,10220_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,65656,Urban,0,0,2,1563,NA,NA,NA,111,7029,295225,10220_2_3_6_7_Urban,10220_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,65656,Water,0,0,NA,NA,NA,NA,NA,NA,NA,295225,10220_2_3_6_7_Water,10220_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,65656,UN,0,0,NA,NA,NA,NA,NA,NA,NA,295225,10220_2_3_6_7_UN,10220_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,65656,UE,0,0,0,247,NA,NA,NA,94,1112,295225,10220_2_3_6_7_UE,10220_2_3_6_7
